ID,EHR_kood,TaisAadress,Maakond,KOV,KOV_voi_LinnaOsa,Tänav_Hoone_Nr,Esmane_Kasutuselevotu_Aasta,Ajastu,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Maksimaalne_Korruste_Arv,Korterite arv trepikojas,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis
354,101006203,"Harju maakond, Tallinn, Nõmme linnaosa, Läänekaare tn 40",Harju maakond, Tallinn, Nõmme linnaosa, Läänekaare tn 40,1926,1921-1930,7,10,31,2,2,0,2,1,8.4,8.5,9.1,24.1,207,323.2,60.8,262.4,puit,13,11,"'muu', 'plekk'","'kohtküte', 'lokaalküte'",0,1,0,0,0,1,G,219.5,46.2
133,116017121,"Harju maakond, Raasiku vald, Aruküla alevik, Põllu tn 3",Harju maakond, Raasiku vald, Aruküla alevik, Põllu tn 3,1976,1971-1980,8,10,44,2,2,0,2,1,7.6,7.5,14.5,35.1,397,945.3,357.7,652,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','lokaalküte',1,0,0,0,0,1,D,455,109.7
125,101019354,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kaera tn 5",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kaera tn 5,1957,1951-1960,8,10,34,2,4,0,1,0,11,11,12,18,253,432.7,29.7,432.7,puit,4,0,'eterniit','kohtküte',0,1,0,0,0,1,D,308.5,45.2
174,101019976,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Nisu tn 1",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Nisu tn 1,1943,1941-1950,8,10,36,2,4,0,1,1,10.5,10.5,11.3,24.3,255,596.3,205.6,390.7,puit,4,0,'bituumen või  PVC  plaat või rullmaterjal','kohtküte',0,1,0,0,0,1,E,297.2,61.8
261,108013708,"Lääne-Viru maakond, Rakvere vald, Sõmeru alevik, Põllu tn 5",Lääne-Viru maakond, Rakvere vald, Sõmeru alevik, Põllu tn 5,1967,1961-1970,8,10,34,2,4,0,1,0,10.7,10.5,15.7,19.5,307.6,430,19.8,430,tellis,4,0,'plaatmaterjal (seal hulgas tsementkiudplaat)','kohtküte',0,1,0,0,0,1,E,269.5,75.5
40,113024761,"Võru maakond, Võru linn, Lille tn 12",Võru maakond, Võru linn, Võru linn, Lille tn 12,1954,1951-1960,8,10,34,2,4,0,1,0,10.8,11,13.8,18.1,282,400.4,23.6,400.4,puit,4,0,'plekk','lokaalküte',0,1,0,0,0,1,C,249.1,53.4
338,101014578,"Harju maakond, Tallinn, Kesklinna linnaosa, E. Viiralti tn 3/1",Harju maakond, Tallinn, Kesklinna linnaosa, E. Viiralti tn 3/1,1926,1921-1930,10,10,68,5,2,0,1,1,23.3,23.5,,,246,1079.2,263.9,833.3,tellis,4,0,'katusekivi','lokaalküte',0,1,0,0,0,1,E,536,197.6
273,104030532,"Tartu maakond, Tartu linn, Tartu linn, Taara pst 4",Tartu maakond, Tartu linn, Tartu linn, Taara pst 4,1958,1951-1960,11,10,46,3,4,0,1,1,12.5,12.5,,,314,778.6,45,612.9,tellis,4,0,'plekk','kohtküte',0,1,0,0,0,1,G,1739.1,500.1
185,101021938,"Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 28a",Harju maakond, Tallinn, Kesklinna linnaosa, Vesivärava tn 28a,1927,1921-1930,12,10,55,3,2,0,2,1,12.4,12.5,13,25.2,331,985.3,298.8,755.2,puit,4,0,'plekk',"'kohtküte', 'lokaalküte'",0,1,0,0,0,1,C,813,319
320,102013224,"Ida-Viru maakond, Lüganuse vald, Lüganuse alevik, Papli tn 4",Ida-Viru maakond, Lüganuse vald, Lüganuse alevik, Papli tn 4,1981,1981-1990,12,10,58,2,2,0,3,1,10,10,10,48,476,1077.8,55.2,826,väikeplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',0,1,0,0,0,,D,451,127.8
342,103019827,"Pärnu maakond, Tori vald, Sauga alevik, Lepalinnu tn 6",Pärnu maakond, Tori vald, Sauga alevik, Lepalinnu tn 6,1983,1981-1990,12,10,60,3,2,0,2,1,12,12,11.6,35,350,1001.5,284.8,796,suurplokk,4,0,'eterniit','kaugküte',0,1,0,0,0,1,D,537,150
